dataset,vertices,cxx_compute_s,python_load_s,python_join_s,python_split_s,python_merge_s,python_reduce_s,python_verify_s,python_compute_s,python_total_s,timing_caveat
nucleon,68921,0.014192,0.005394,0.464438,0.464643,0.238223,0.058700,0.121488,1.226004,1.352885,"C++ excludes Python load/verify/storage; indicative, not parity benchmark"
marschner_lobb,68921,0.015162,0.011362,0.469773,0.429035,0.191530,0.058733,0.115189,1.149071,1.275622,"C++ excludes Python load/verify/storage; indicative, not parity benchmark"
silicium,113288,0.027394,0.004192,0.766082,0.744442,0.280748,0.097949,0.194935,1.889220,2.088347,"C++ excludes Python load/verify/storage; indicative, not parity benchmark"
fuel,262144,0.042270,0.004411,1.823771,1.709538,0.727247,0.275956,0.541432,4.536512,5.082355,"C++ excludes Python load/verify/storage; indicative, not parity benchmark"
neghip,262144,0.059037,0.004585,1.791807,1.717957,0.743763,0.327164,0.589099,4.580691,5.174376,"C++ excludes Python load/verify/storage; indicative, not parity benchmark"
hydrogen_atom,2097152,0.381835,0.007637,14.489551,13.981713,7.434162,3.024850,6.669169,38.930276,45.607082,"C++ excludes Python load/verify/storage; indicative, not parity benchmark"
shockwave,2097152,0.330942,0.006034,14.339927,14.020894,6.694251,4.836786,7.623119,39.891857,47.521010,"C++ excludes Python load/verify/storage; indicative, not parity benchmark"
lobster,5461344,2.382229,0.009912,39.340594,37.661856,23.329784,10.874279,23.008058,111.206512,134.224482,"C++ excludes Python load/verify/storage; indicative, not parity benchmark"
engine,8388608,3.948203,0.011291,60.859127,58.977201,44.988628,14.155374,35.791390,178.980330,214.783012,"C++ excludes Python load/verify/storage; indicative, not parity benchmark"
statue_leg,10814133,2.906500,0.014212,75.894555,73.972656,50.029606,22.125283,44.565911,222.022100,266.602223,"C++ excludes Python load/verify/storage; indicative, not parity benchmark"
boston_teapot,11665408,2.677988,0.013342,82.298943,80.467423,55.847436,22.751449,43.329008,241.365251,284.707601,"C++ excludes Python load/verify/storage; indicative, not parity benchmark"
aneurism,16777216,2.684955,0.021724,118.722806,113.047701,97.472576,32.536070,80.805050,361.779153,442.605928,"C++ excludes Python load/verify/storage; indicative, not parity benchmark"
bonsai,16777216,4.600415,0.023436,119.238925,117.373342,103.596058,34.450458,89.920916,374.658783,464.603135,"C++ excludes Python load/verify/storage; indicative, not parity benchmark"
foot,16777216,7.780082,0.025666,123.112206,120.274399,122.680813,38.670701,98.266499,404.738119,503.030285,"C++ excludes Python load/verify/storage; indicative, not parity benchmark"
skull,16777216,13.580763,0.018266,130.069055,123.445370,171.601485,34.538891,112.123793,459.654801,571.796860,"C++ excludes Python load/verify/storage; indicative, not parity benchmark"
