dataset,vertices,supernodes,superarcs,leaf_count,branch_count,max_degree,degree_histogram,scalar_min,scalar_max
nucleon,68921,579,578,298,281,4,"{""1"": 298, ""3"": 266, ""4"": 15}",0.0,249.0
marschner_lobb,68921,1506,1505,785,721,4,"{""1"": 785, ""3"": 659, ""4"": 62}",0.0,255.0
silicium,113288,458,457,230,228,3,"{""1"": 230, ""3"": 228}",0.0,255.0
fuel,262144,344,343,173,171,3,"{""1"": 173, ""3"": 171}",0.0,255.0
neghip,262144,2242,2241,1141,1101,4,"{""1"": 1141, ""3"": 1063, ""4"": 38}",0.0,255.0
hydrogen_atom,2097152,13593,13592,6872,6721,4,"{""1"": 6872, ""3"": 6572, ""4"": 149}",0.0,250.0
shockwave,2097152,1133,1132,573,560,4,"{""1"": 573, ""3"": 549, ""4"": 11}",0.0,255.0
lobster,5461344,323349,323348,162826,160523,5,"{""1"": 162826, ""3"": 158229, ""4"": 2287, ""5"": 7}",0.0,255.0
engine,8388608,467702,467701,236418,231284,5,"{""1"": 236418, ""3"": 226176, ""4"": 5084, ""5"": 24}",0.0,255.0
statue_leg,10814133,353877,353876,178943,174934,6,"{""1"": 178943, ""3"": 170961, ""4"": 3940, ""5"": 32, ""6"": 1}",0.0,250.0
boston_teapot,11665408,93330,93329,47223,46107,4,"{""1"": 47223, ""3"": 44993, ""4"": 1114}",0.0,255.0
aneurism,16777216,54197,54196,27220,26977,4,"{""1"": 27220, ""3"": 26736, ""4"": 241}",0.0,255.0
bonsai,16777216,179627,179626,90363,89264,5,"{""1"": 90363, ""3"": 88170, ""4"": 1091, ""5"": 3}",0.0,255.0
foot,16777216,719091,719090,363869,355222,5,"{""1"": 363869, ""3"": 346646, ""4"": 8507, ""5"": 69}",0.0,255.0
skull,16777216,1710477,1710476,865565,844912,5,"{""1"": 865565, ""3"": 824410, ""4"": 20353, ""5"": 149}",0.0,255.0
